Epoch 0001/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.1000 (train=False)
Epoch 0002/2100 | Loss 0.00000 | Score: -3.0 | Epsilon=0.0999 (train=False)
Epoch 0003/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0999 (train=False)
Epoch 0004/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0998 (train=False)
Epoch 0005/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0998 (train=False)
Epoch 0006/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0997 (train=False)
Epoch 0007/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0997 (train=False)
Epoch 0008/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0996 (train=False)
Epoch 0009/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0996 (train=False)
Epoch 0010/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0995 (train=False)
Epoch 0011/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0995 (train=False)
Epoch 0012/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0994 (train=False)
Epoch 0013/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0994 (train=False)
Epoch 0014/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0993 (train=False)
Epoch 0015/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0993 (train=False)
Epoch 0016/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0992 (train=False)
Epoch 0017/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0992 (train=False)
Epoch 0018/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0991 (train=False)
Epoch 0019/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0991 (train=False)
Epoch 0020/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0990 (train=False)
Epoch 0021/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0990 (train=False)
Epoch 0022/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0990 (train=False)
Epoch 0023/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0989 (train=False)
Epoch 0024/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0989 (train=False)
Epoch 0025/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0988 (train=False)
Epoch 0026/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0988 (train=False)
Epoch 0027/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0987 (train=False)
Epoch 0028/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0987 (train=False)
Epoch 0029/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0986 (train=False)
Epoch 0030/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0986 (train=False)
Epoch 0031/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0985 (train=False)
Epoch 0032/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0985 (train=False)
Epoch 0033/2100 | Loss 0.00000 | Score: -4.0 | Epsilon=0.0984 (train=False)
Epoch 0034/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0984 (train=False)
Epoch 0035/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0983 (train=False)
Epoch 0036/2100 | Loss 0.00000 | Score: -3.0 | Epsilon=0.0983 (train=False)
Epoch 0037/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0982 (train=False)
Epoch 0038/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0982 (train=False)
Epoch 0039/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0981 (train=False)
Epoch 0040/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0981 (train=False)
Epoch 0041/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0980 (train=False)
Epoch 0042/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0980 (train=False)
Epoch 0043/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0980 (train=False)
Epoch 0044/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0979 (train=False)
Epoch 0045/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0979 (train=False)
Epoch 0046/2100 | Loss 0.00000 | Score: -8.0 | Epsilon=0.0978 (train=False)
Epoch 0047/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0978 (train=False)
Epoch 0048/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0977 (train=False)
Epoch 0049/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0977 (train=False)
Epoch 0050/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0976 (train=False)
Epoch 0051/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0976 (train=False)
Epoch 0052/2100 | Loss 0.00000 | Score: -5.0 | Epsilon=0.0975 (train=False)
Epoch 0053/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0975 (train=False)
Epoch 0054/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0974 (train=False)
Epoch 0055/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0974 (train=False)
Epoch 0056/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0973 (train=False)
Epoch 0057/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0973 (train=False)
Epoch 0058/2100 | Loss 0.00000 | Score: -6.0 | Epsilon=0.0972 (train=False)
Epoch 0059/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0972 (train=False)
Epoch 0060/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0971 (train=False)
Epoch 0061/2100 | Loss 0.00000 | Score: -7.0 | Epsilon=0.0971 (train=False)
